id,name,type,year,genre,length,price,img,
1,red,movie,2000,action,132,32.99,https://th.bing.com/th/id/R.4e266c85a8f60203d0ecf6f907f58aba?rik=uSlBAK7KhjNfsg&pid=ImgRaw&r=0,
2,blue,movie,2001,romance,120,29.99,https://th.bing.com/th/id/OIP.-GTee3XzYftPH-52ZY7HPQHaLH?pid=ImgDet&rs=1,
3,Shaun the Sheep,Show,2007,comedy,5 seasons,2.99,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQvQn5iyqbTd4SCkrBSdHIzpn4OfkXFjq29oi8V1Fzo8lGh1pqp,Shaun the Sheep
4,Arrival,movie,2016,sci-fi,156,3.99,https://m.media-amazon.com/images/I/91UusfCtQaL._SL1500_.jpg,
5,The Man From Nowwher,movie,2010,Action,159,3.99,https://m.media-amazon.com/images/M/MV5BMTgzMTkxNjAxNV5BMl5BanBnXkFtZTgwMDU3MDE0MjE@._V1_.jpg,
6,Our Flag Means Death,Show,2002,Comedy,1 season,5.99,https://flxt.tmsimg.com/assets/p21456593_b_v13_aa.jpg,
7,Hidden Figures,movie,2016,Drama,207,3.99,https://m.media-amazon.com/images/M/MV5BMzg2Mzg4YmUtNDdkNy00NWY1LWE3NmEtZWMwNGNlMzE5YzU3XkEyXkFqcGdeQXVyMjA5MTIzMjQ@._V1_FMjpg_UX1000_.jpg,
8,Shang-Chi and the Legend of the Ten Rings,movie,2021,Fantasy / Action,212,3.99,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR4q-3DRHJ_mIeRpY8itjj58cYh6RdkMNYZeqWO6WbKsEaxwVEKgiJyGdbyiKGDETwFJzk&usqp=CAU,
9,X,movie,2022,Horror,140,19.99,https://d135u4jtzauizi.cloudfront.net/_thumbnail/X_KeyArtVRT27x40-MIA_RGB-FINsml.jpg,
10,Knives Out,movie,2019,Mystery,210,3.99,https://dci832c741skk.cloudfront.net/assets/files/13775/drydenwire_49.800x600.jpg,
11,The Hating Game,movie,2021,Romance,142,3.99,https://upload.wikimedia.org/wikipedia/en/d/d9/The_Hating_Game_film_poster.png,
12,Run,movie ,2020,Thriller,130,4.99,https://fr.web.img2.acsta.net/pictures/21/06/25/17/30/1095745.jpg,
13,Redeeming Love,movie ,2022,Western/Romance,214,5.99,https://m.media-amazon.com/images/M/MV5BMTMxMmRmMWUtNGNhZS00MWYxLTkwNzUtM2QwNzI4MGU1ZTI2XkEyXkFqcGdeQXVyNTQ3MjE4NTU@._V1_.jpg,
14,Moonfall,movie ,2022,action,200,19.99,https://lionsgate.brightspotcdn.com/99/bb/7a9190fb4a88887c221a242af617/moonfall-bg-own.jpg,
15,Cyrano,movie ,2021,Romance,203,5.99,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSod_b_CNpKDrlfF2F0cpjZwcWvpE59hzKcziP0K4TkjfiM8zLQGD1uxU19PzYhrEQZyfA&usqp=CAU,
16,Booksmart,movie,2019,comedy,142,3.99,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRP_B-ueFKsjQpcFt7444uR5Mn6l3RcLdfIAou0LRmADO_Uzg7YgpWLelpr&s,
17,Interstellar,movie,2014,Sci-fi/Adventure,249,2.99,https://i.ytimg.com/vi/YF1eYbfbH5k/maxresdefault.jpg,
18,Inception,movie,2010,Action,228,3.99,https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_FMjpg_UX1000_.jpg,
19,Eighth Grade,movie,2018,Comedy,133,3.99,https://pbs.twimg.com/media/DjsIMBZXoAAtSXf.jpg,
20,The Big Short,movie,2015,Drama,210,2.99,https://prod-ripcut-delivery.disney-plus.net/v1/variant/disney/46006E87B9248BADF7C271DAD4E5C63AEEAC6CEE5133FBE7A63516E305F56037/scale?width=1200&aspectRatio=1.78&format=jpeg,
21,Oz the Great and Powerful,movie,2013,Fantasy,210,3.99,https://m.media-amazon.com/images/I/81Xq9dB3QFL._SL1370_.jpg,
22,Umma,movie,2022,Horror,124,19.99,https://filmdaily.co/wp-content/uploads/2022/03/Umma-lede.jpeg,
23,Deep Water,movie,2022,Mystery,233,3.99,https://ntvb.tmsimg.com/assets/p18205561_v_h8_aa.jpg?w=1280&h=720,
24,Me Before You,movie,2016,Romance,150,3.99,https://m.media-amazon.com/images/M/MV5BMTQ2NjE4NDE2NV5BMl5BanBnXkFtZTgwOTcwNDE5NzE@._V1_.jpg,
25,It,movie,2017,Thriller,215,3.99,https://m.media-amazon.com/images/M/MV5BYjg1YTRkNzQtODgyYi00MTQ5LThiMDYtNDJjMWRjNTdjZDZlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_.jpg,
26,The Harder They Fall,movie ,2021,Western,219,5.99,https://m.media-amazon.com/images/M/MV5BZTQwYThhZTYtZTQ3MC00NDQ0LWFkZGMtMzdiMTU3OGJiYTY0XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg,
27,Infinite,movie ,2021,action,146,2.99,https://insidepulse.com/wp-content/uploads/2021/12/ff2835839d858fc0fcce15967e0eb9a31d46e8550ff17ea34a3c2415b2349c37._UY500_UX667_RI_V_TTW_.jpg,
28,Marry Me,movie ,2022,romance,152,5.99,https://m.media-amazon.com/images/M/MV5BMzFiMjNhMDktNmVlYy00MGE3LWJkNWItNTgyMTc5MGVlNzllXkEyXkFqcGdeQXVyMTA3MDk2NDg2._V1_.jpg,
29,The Big Sick,movie,2017,comedy,200,3.99,https://m.media-amazon.com/images/M/MV5BZWM4YzZjOTEtZmU5ZS00ZTRkLWFiNjAtZTEwNzIzMDM5MjdmXkEyXkFqcGdeQXVyNDg2MjUxNjM@._V1_FMjpg_UX1000_.jpg,
30,Annihilation,movie,2018,sci-fi/horror,155,3.99,https://m.media-amazon.com/images/M/MV5BMTk2Mjc2NzYxNl5BMl5BanBnXkFtZTgwMTA2OTA1NDM@._V1_.jpg,
31,Salt,movie,2010,Action/Mystery,144,2.99,https://flxt.tmsimg.com/assets/p7937523_p_v8_af.jpg,
32,Bridesmaids,movie,2011,Comedy/Romance,205,3.99,https://resizing.flixster.com/I5DoSLr6vI3Whd63IyS135Q_H5M=/206x305/v2/https://flxt.tmsimg.com/assets/p8414185_p_v8_ae.jpg,
33,Dunkirk,movie,2017,War/Action,146,4.99,https://m.media-amazon.com/images/M/MV5BMmE0ZmUzYzUtMzE5Ni00OGM4LWJhMjEtOWZmYWQwYzA5NDM5XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg,
34,Along with the Gods: The Two Worlds,movie,2019,Fantasy,219,2.99,https://m.media-amazon.com/images/M/MV5BN2FjN2Q0ZWQtN2NiOC00MTZjLTg3ZDEtMmVkNzM0ODBkYmU1XkEyXkFqcGdeQXVyNTUxNTI3MzY@._V1_.jpg,
35,Old,movie,2021,Horror,148,14.99,https://i.ytimg.com/vi/84xAD4r-9kE/movieposter_en.jpg,
